locus	len_aa	refseq_product	verdict	function_revised
Rv0059	230	toxin-antitoxin system toxin DarT	requalified	DarT (DarT_Mtb), toxin of the DarTG toxin-antitoxin system: a DNA ADP-ribosyltransferase that sequence-specifically modi
Rv0060	352	toxin-antitoxin system antitoxin DNA ADP-ribosyl glycohydrolase DarG	requalified	DarG (DarG_Mtb), antitoxin of the DarTG system: a macrodomain DNA ADP-ribosyl-glycohydrolase that removes the ADP-ribose
Rv0064A	79	antitoxin VapB1	requalified	Antitoxin VapB1. Pfam: FitA-like_RHH (PF22513.3).
Rv0123	122	DNA-binding protein	family_assigned	Putative DNA-binding protein. No Pfam domain above threshold, but Foldseek matches antitoxin DNA-binding domains strongl
Rv0229c	137	PIN domain nuclease	family_assigned	PIN-domain ribonuclease, VapC-family toxin (Pfam PIN PF01850): the toxin of a VapBC-type toxin-antitoxin module, a metal
Rv0268c	169	hypothetical protein	family_assigned	Contains PhdYeFM_antitox (PF02604.27) domain(s); putative function inferred from the domain architecture.
Rv0366c	197	zeta toxin family protein	family_assigned	Zeta toxin family protein. Pfam: Zeta_toxin (PF06414.19), AAA_33 (PF13671.13).
Rv0456A	93	toxin MazF1	requalified	Toxin MazF1. Pfam: PemK_toxin (PF02452.24).
Rv0456B	57	antitoxin MazE1	requalified	Antitoxin MazE1.
Rv0616A	75	antitoxin VapB29	requalified	Antitoxin VapB29.
Rv0634A	83	hypothetical protein	family_assigned	Contains VapB_antitoxin (PF09957.16) domain(s); putative function inferred from the domain architecture.
Rv0664	90	antitoxin VapB8	requalified	Antitoxin VapB8.
Rv0836c	217	hypothetical protein	family_assigned	No Pfam domain above threshold; Foldseek indicates a fold similar to 8an5-assembly1_B MenAT1 toxin-antitoxin complex (rv
Rv0837c	342	type IV toxin-antitoxin system AbiEi family antitoxin	family_assigned	Type IV toxin-antitoxin system AbiEi family antitoxin. Pfam: AbiEi_2 (PF09952.15).
Rv0959A	73	antitoxin VapB9	requalified	Antitoxin VapB9.
Rv1044	207	type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein	family_assigned	Type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein. Pfam: AbiEi_4 (PF13338.13).
Rv1045	293	nucleotidyl transferase AbiEii/AbiGii toxin family protein	family_assigned	Nucleotidyl transferase AbiEii/AbiGii toxin family protein. Pfam: AbiEii (PF08843.18).
Rv1103c	106	antitoxin MazE3	requalified	Antitoxin MazE3.
Rv1560	72	antitoxin VapB11	requalified	Antitoxin VapB11. Pfam: VapB_antitoxin (PF09957.16).
Rv1662	1602	polyketide synthase	requalified	Polyketide synthase. Pfam: Docking (PF08990.17), ketoacyl-synt (PF00109.33), Thiolase_N (PF00108.30), Ketoacyl-synt_C (P
Rv1717	116	cupin domain-containing protein	family_assigned	Cupin domain-containing protein. Pfam: Cupin_2 (PF07883.18).
Rv1953	103	ribonuclease VapC14	requalified	Ribonuclease VapC14.
Rv1962A	90	antitoxin VapB35	requalified	Antitoxin VapB35.
Rv1982A	86	antitoxin VapB36	requalified	Antitoxin VapB36. Pfam: PSK_trans_fac (PF07704.18).
Rv1991A	82	antitoxin MazE6	requalified	Antitoxin MazE6.
Rv2004c	498	AAA family ATPase	family_assigned	AAA family ATPase. Pfam: Zeta_toxin (PF06414.19), AAA_33 (PF13671.13).
Rv2009	80	antitoxin VapB15	requalified	Antitoxin VapB15. Pfam: VapB_antitoxin (PF09957.16).
Rv2022c	201	type II toxin-antitoxin system RelE/ParE family toxin	family_assigned	Type II toxin-antitoxin system RelE/ParE family toxin. Pfam: Gp49 (PF05973.21).
Rv2049c	74	hypothetical protein	family_assigned	No Pfam domain above threshold; Foldseek indicates a fold similar to 5lcy-assembly1_C Formaldehyde-Responsive Regulator 
Rv2063	77	antitoxin MazE7	requalified	Antitoxin MazE7.
Rv2063A	136	mRNA interferase MazF7	requalified	MRNA interferase MazF7. Pfam: PemK_toxin (PF02452.24).
Rv2142A	71	antitoxin ParD2	requalified	Antitoxin ParD2.
Rv2231A	141	ribonuclease VapC16	requalified	Ribonuclease VapC16.
Rv2231B	58	antitoxin VapB16	requalified	Antitoxin VapB16.
Rv2274A	82	antitoxin MazE8	requalified	Antitoxin MazE8.
