rv,gene_name,mtbc0,h37rv_product,mycobrowser_product,mycobrowser_function,mycobrowser_ec,was_unknown_in_mycobrowser,atlas_verdict,atlas_confidence,atlas_function,atlas_ec,novelty,ahead_of_mycobrowser,ahead_via,ec_vs_mycobrowser,annotation_route,swissprot_curated,functional_basis,support_evidence,n_references
Rv0001,dnaA,mtbc0_000001,chromosomal replication initiator protein DnaA,Chromosomal replication initiator protein DnaA,"Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (DNAA box): 5'-TTATC(C/A)A(C/A)A-3'. DNAA binds to ATP and to acidic phospholipids. DNAA protein binds the origin of replication (oriC), ATP and ADP, and exhibited weak ATPase activity.",,0,requalified,high,"Chromosomal replication initiator protein DnaA. Pfam: Bac_DnaA (PF00308.25), IstB_IS21 (PF01695.24), AAA (PF00004.36), Bac_DnaA_C (PF08299.18).",3.6.4.-,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;MS-detected,0
Rv0002,dnaN,mtbc0_000002,DNA polymerase III subunit beta,DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase),"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP-independent) along duplex DNA [catalytic activity: N deoxynucleoside triphosphate = N diphospha",2.7.7.7,0,family_assigned,medium,"DNA polymerase III subunit beta. Pfam: DNA_pol3_beta (PF00712.25), DNA_pol3_beta_2 (PF02767.22), DNA_pol3_beta_3 (PF02768.21).",2.7.7.7,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;purifying-selection;MS-detected,0
Rv0003,recF,mtbc0_000003,DNA replication/repair protein RecF,DNA replication and repair protein RecF (single-strand DNA binding protein),"The RECF protein is involved in DNA metabolism and recombination; it is required for DNA replication and normal sos inducibility. RECF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP.",,0,requalified,high,"DNA replication/repair protein RecF. Pfam: SMC_N (PF02463.26), AAA_23 (PF13476.13).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0004,,mtbc0_000004,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,requalified,high,"DciA, DNA replication protein. Directly binds DNA and the replicative helicase DnaB and regulates the DnaB-DnaA interaction; functional analogue of the DnaC/DnaI helicase loaders that mycobacteria lack. Essential for viability; its depletion blocks cell-cycle progression.",,new_function,1,requalified function,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,2
Rv0005,gyrB,mtbc0_000005,DNA gyrase subunit B,DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase),"DNA gyrase negatively supercoils closed circular double-stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings [catalytic activity: ATP-dependent breakage, passage and rejoining of double-stranded DNA].",5.99.1.3,0,family_assigned,medium,"DNA topoisomerase (ATP-hydrolyzing) subunit B. Pfam: HATPase_c (PF02518.32), DNA_gyraseB (PF00204.32), Toprim (PF01751.29), DNA_gyraseB_C (PF00986.27).",5.6.2.2;5.99.1.3,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0006,gyrA,mtbc0_000006,DNA gyrase subunit A,DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase),"DNA gyrase negatively supercoils closed circular double-stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings [catalytic activity: ATP-dependent breakage, passage and rejoining of double-stranded DNA].",5.99.1.3,0,family_assigned,medium,"DNA topoisomerase (ATP-hydrolyzing) subunit A. Pfam: DNA_topoisoIV (PF00521.27), DNA_gyraseA_C (PF03989.19).",5.6.2.2;5.99.1.3,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0007,,mtbc0_000007,membrane protein,Possible conserved membrane protein,,,0,dark,low,Conserved hypothetical protein; DUF domain(s) DUF3566. Function unknown.,,still_unknown,0,,,unknown,1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0008c,,-,cell wall synthesis protein CwsA,Possible membrane protein,,,0,requalified,high,Cell wall synthesis protein CwsA. Pfam: CwsA (PF10814.15).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0009,ppiA,-,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA,Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A),PPIases accelerate the folding of proteins [catalytic activity: cis-trans isomerization of proline imidic peptide bonds in oligopeptides].,5.2.1.8,0,requalified,high,Iron-regulated peptidyl-prolyl cis-trans isomerase PpiA. Pfam: Pro_isomerase (PF00160.27).,5.2.1.8,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0010c,,mtbc0_000014,membrane protein,Probable conserved membrane protein,,,0,family_assigned,medium,PH domain-containing protein. Pfam: bPH_6 (PF10756.16).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv0011c,crgA,mtbc0_000015,cell division protein CrgA,Probable conserved transmembrane protein,,,0,requalified,high,Cell division protein CrgA. Pfam: CrgA (PF06781.18).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0012,,-,membrane protein,Probable conserved membrane protein,,,0,family_assigned,low,Membrane protein.,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0013,trpG,-,anthranilate synthase component II,Possible anthranilate synthase component II TrpG (glutamine amidotransferase),"Possibly involved in biosynthesis of tryptophan (at the first step). Supposed tetramer of two components I and two components II: component I (Rv1609|trpE) catalyzes the formation of anthranilate using ammonia rather than glutamine, whereas component II (Rv0013|trpG) provides glutamine amidotransferase activity. Possibly participates in the tryptophan-dependent indole-3-acetic acid production [cat",4.1.3.27,0,requalified,high,"Anthranilate synthase component II. Pfam: GATase (PF00117.35), Peptidase_C26 (PF07722.20).",2.6.1.85;4.1.3.27,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0014c,pknB,mtbc0_000018,serine/threonine-protein kinase PknB,Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B),Involved in signal transduction (via phosphorylation). Thought to regulate cell division/differentiation. Can phosphorylate the peptide substrate myelin basic protein (MBP) [catalytic activity: ATP + a protein = ADP + a phosphoprotein].,2.7.11.1,0,family_assigned,medium,"Stk1 family PASTA domain-containing Ser/Thr kinase. Pfam: Pkinase (PF00069.32), PK_Tyr_Ser-Thr (PF07714.24), ABC1 (PF03109.23), Pkinase_fungal (PF17667.8), PASTA (PF03793.25).",2.7.11.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0015c,pknA,mtbc0_000019,serine/threonine-protein kinase PknA,Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A),Involved in signal transduction (via phosphorylation). Thought to regulate morphological changes associated with cell division/differentiation process. Phosphorylates at serine and threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].,2.7.11.1,0,requalified,high,"Serine/threonine protein kinase PknA. Pfam: Pkinase (PF00069.32), PK_Tyr_Ser-Thr (PF07714.24), Kdo (PF06293.21), ABC1 (PF03109.23).",2.7.11.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv0016c,pbpA,mtbc0_000020,penicillin-binding protein PbpA,Probable penicillin-binding protein PbpA,Involved in peptidoglycan synthesis (at the final stages). Cell wall formation; PBPA is supposed to be responsible for the determination of the rod shape of the cell. It synthesizes cross-linked peptidoglycan from lipid intermediates.,,0,requalified,high,"D%2CD-transpeptidase PbpA. Pfam: PBP_dimer_2 (PF21922.2), Transpeptidase (PF00905.28).",3.4.16.4,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0017c,rodA,mtbc0_000021,cell division protein RodA,Probable cell division protein RodA,"This is a septum-peptidoglycan biosynthetic protein, involved in cell wall formation. Plays a role in the stabilization of the FTSZ ring during cell division.",,0,requalified,high,Cell shape-determining peptidoglycan glycosyltransferase RodA. Pfam: FTSW_RODA_SPOVE (PF01098.25).,2.4.99.28,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0018c,pstP,-,phosphoserine/threonine phosphatase PstP,Phosphoserine/threonine phosphatase PstP,Involved in regulation (using dephosphorylation of a specific phosphorylated substrate).,3.1.3.16,0,requalified,high,"Phosphoserine/threonine phosphatase PstP. Pfam: PP2C (PF00481.27), PP2C_2 (PF13672.12).",3.1.3.16,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;MS-detected,0
Rv0019c,fhaB,mtbc0_000023,FHA domain-containing protein FhaB,"Conserved protein with FHA domain, FhaB",Signal transduction,,0,family_assigned,medium,"FHA domain-containing protein. Pfam: Yop-YscD_cpl (PF16697.11), FHA (PF00498.32).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,vulnerable;purifying-selection;MS-detected,0
Rv0020c,fhaA,mtbc0_000024,FHA domain-containing protein FhaA,"Conserved protein with FHA domain, FhaA",Signal transduction,,0,requalified,high,"Cell division-associated protein FhaA. Pfam: FhaA_N (PF12401.14), Yop-YscD_cpl (PF16697.11), FHA (PF00498.32).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;purifying-selection;MS-detected,0
Rv0021c,,mtbc0_000026,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,Nitronate monooxygenase (NMO) family protein; FMN-dependent oxidoreductase of the NMO / 2-nitropropane dioxygenase class. Pfam confirms a tandem NMO (PF03060) + FMN_dh (PF01070) architecture. The precise physiological substrate in M. tuberculosis is not experimentally established.,1.13.12.16,new_family_or_domain,1,EC number,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0022c,whiB5,mtbc0_000027,transcriptional regulator WhiB5,Probable transcriptional regulatory protein WhiB-like WhiB5,Involved in transcriptional mechanism.,,0,family_assigned,medium,Transcriptional regulator WhiB5. Pfam: Whib (PF02467.22).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,pseudogene-candidate,0
Rv0023,,mtbc0_000028,transcriptional regulator,Possible transcriptional regulatory protein,Possibly involved in transcriptional mechanism.,,0,family_assigned,medium,"Helix-turn-helix transcriptional regulator. Pfam: HTH_31 (PF13560.13), HTH_3 (PF01381.29).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;purifying-selection;MS-detected,0
